Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,unsafe 분류,전체 데이터,비율,,
,전체 데이터,815,1021,0.7982370225,,206.0
,,,,,,
,,safe 분류,전체 데이터,비율,,
,전체 띄어쓰기,10,815,0.01226993865,,
,전체 붙여쓰기,8,815,0.00981595092,,
,야민정음,0,815,0,,
,이모티콘,170,815,0.2085889571,,
,사랑,20,815,0.0245398773,,
,,,,,,
,,safe 분류,전체 데이터,비율,,
,safe original,122,129,0.9457364341,,
,,,,,,
,,,,,,
,,unsafe 분류,전체 데이터,비율,,
,safe야민정음,118,122,0.9672131148,,
,safe이모지,101,122,0.8278688525,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,1.0,
