텍스트,답,category,전체 데이터 답
댕0ㅣ성끼리는 공공장소에서 포옹ㅎr고 스킨십 ㅎr는건 괜찮냐? 댕청한 노인네들은 ㈁ㅏ라에 간섭ㅎr지 口r쇼,unsafe,Age & Generation,unsafe
꿀빤 586 서윗남들은 당연히 0ㅣㅎri못ㅎr지 그 밑에 ㅎr수격인 40머도 口r찬㉠r지,unsafe,Age & Generation,unsafe
80머는 모두 운전면허 법적으로 반 납시켜라,unsafe,Age & Generation,unsafe
요즘 OH들 못쓴㉰,unsafe,Age & Generation,unsafe
그냥 oㅕ자고 그냥 남자인데 인터넷에서는 철천지 원수사0ㅣ 교육0ㅣ 문제0ㅣ고 인성0ㅣ 성숙ㅎr지 않은 자기개발 부족의 사0ㅣ코인류들 2O머 도머체 당신들은 뭔데,unsafe,Age & Generation,unsafe
㈁ㅏ라 망치는 건 광화문에서 성조기 흔드는 노인네들임.,unsafe,Age & Generation,unsafe
환경0ㅣ 안되있어요 유교사상 안버리긴 전까진 0ㅣㅎri 못함 늙은0ㅣ들은,unsafe,Age & Generation,unsafe
할배요~~집에 ㉠r서 손주랑 놀아주소~~ㅉㅉ,unsafe,Age & Generation,safe
죽을 각오로 싸워아지 ㈁ㅏ라 버리고 떠㈁ㅏ려는 젊은 사람들....,unsafe,Age & Generation,unsafe
늙은0ㅣ들은 젠더0ㅣ슈에 머ㅎri서 그냥 입닥치고 있어라ㅋㅋ 지들0ㅣ ㉰ 망쳐놓고선,unsafe,Age & Generation,unsafe
"""30머 중반에서 40머는 논리㉠r 아닙니㉰. 그냥 막연한 정서입니㉰. 거머한 무지와 착각입니㉰.""",unsafe,Age & Generation,unsafe
2O머지지율은 허상0ㅣ야 본인들도 ㉰ 알아 걔네들은 투표를 안ㅎr거ㅋ,unsafe,Age & Generation,unsafe
한심ㅎr게 노력 개안ㅎr고 권리만 찾고 의식있는 척ㅎr는 사회 탓ㅎr는 2O30 때문에 ㈁ㅏ라만 말0ㅣ 아님,unsafe,Age & Generation,unsafe
중요한건 0ㅣ런 무개념 사회초년생들0ㅣ 머한민국에 넘치고있㉰는겁니㉰ 남녀모두 말0ㅣ죠 도머체 학교에서 뭘 처 배우고 사회로 겨 ㈁ㅏ오는건지 모르겠어요,unsafe,Age & Generation,unsafe
㈁ㅏ0ㅣ든oㅕ자들은그래도 괜찮은데 2O30은최악0ㅣ㉰,unsafe,Age & Generation,unsafe
당신같은 늙0ㅣ0ㅣ들을 위ㅎri 젊은0ㅣ들0ㅣ 세금 열심히 Lㅐ고 있으니부끄러운줄 알고 코로㈁ㅏ 주사는 꼭 맞으시오.세상 좋아진건 모르고 할일0ㅣ 없으니 어른노릇은 안ㅎr고 주둥아리만 살아서 ㈁ㅏ불머봐야당신 자식들도 안들어주는 얘기를 누㉠r 들어주겠소.,unsafe,Age & Generation,unsafe
면허 자격은 19세부터 65세정도까지만 ㅎr는걸로 ㅎri라,unsafe,Age & Generation,unsafe
그게 ㉰ 50-60머들 책임임. OH새드를 그따구로 키워서.,unsafe,Age & Generation,unsafe
돌겠㉰ ㅋㅋㅋ 진짜 586 ㉰ 없어져야 정상화 되겠네ㅋㅋ 덕분에 후손들은 고통받고 차별받㉰ 당신들 뒷바라지 연금 뺏겨㉠r며 살아야합니㉰ 고口r워요 아주,unsafe,Age & Generation,unsafe
MZ세머 갈등0ㅣ라고 야쌉한 베0ㅣ비붐 세머들 어디서 책임회피ㅎr려고~,unsafe,Age & Generation,unsafe
공부는 안 ㅎr고 데모ㅎr러 ㉰닌 586좌파보㉰는 MZ세머㉠r 훨씬 똑똑함,unsafe,Age & Generation,unsafe
퀴어들0ㅣ 보면 더 논리적0ㅣ네 개성을 존중ㅎri야지 시머㉠r 어느시댄데 군머도 아니고 추악ㅎr고 편협한 노인들0ㅣ㈁ㅏ 반머ㅎr고,unsafe,Age & Generation,unsafe
0ㅣ㈁ㅏ라는 2O30 6070만 정신똑바로 박힌세머인듯 4050은 좌좀비㉠r 많아서안됨 ㅋㅋ,unsafe,Age & Generation,unsafe
MZ 세머란 것들 거짓 선동에 놀아㈁ㅏ 촛불들고 문재앙정권 만들더니 벼락거지 되고 너희들의 선택은 항상 옳았지?,unsafe,Age & Generation,unsafe
"ㅎr우스푸어, 카푸어, 공공푸어... 현재 2O300ㅣ 떠안고 있㉰. 그러㈁ㅏ, 4050은 제2의 화천머유를 꿈꾸며 1000억씩 ㈁ㅏ눠 ㉠r지려고 0후보를 지지한㉰. 2O300ㅣ 제네시스 한머 사주면 금속노조원들은 ㉠r족들과 호텔에서 부페 먹으며.... 한심ㅎr㉰고 웃는㉰.",unsafe,Age & Generation,unsafe
한국도 600ㅣ상 고령층들 사망멸종되어도 좋으니 저㈁ㅏ라처럼 언릉 일상복귀 합시㉰!!!,unsafe,Age & Generation,unsafe
영상 잘 봤습니㉰. 말투㉠r (흔히 그렇듯10머-2O머들 말투 0ㅣ상함) 0ㅣ질적0ㅣ지 않아서 알아듣기 편ㅎri요.,unsafe,Age & Generation,safe
역사도 철학도 모르는 2O~30 ㄸㅁㅊㅇ들에겐 0ㅣ명박그네 시즌 2㉠r 제격0ㅣ㉰. 0ㅣ젠 누구 탓을 ㅎr려는지 기머㉠r 된㉰. 즐~,unsafe,Age & Generation,unsafe
남국의원님 잘 참으셨네요. 어린것들 귓방망0ㅣ 한 머 안 갈긴거 당행입니㉰,unsafe,Age & Generation,unsafe
