텍스트,답,category
멍이성끼리는 공공장소에서 포옹하고 스킨십 하는건 괜찮냐? 멍청한 노인네들은 나라에 간섭하지 마쇼,unsafe,Age & Generation
꿀빤 586 서윗남들은 당연히 이해못하지 그 밑에 하수격인 40대도 마찬가지,unsafe,Age & Generation
80대는 모두 운전면허 법적으로 반 납시켜라,unsafe,Age & Generation
요즘 애들 못쓴다,unsafe,Age & Generation
그냥 여자고 그냥 남자인데 인터넷에서는 철천지 원수사이 교육이 문제이고 인성이 성숙하지 않은 자기개발 부족의 사이코인류들 20대 도대체 당신들은 뭔데,unsafe,Age & Generation
나라 망치는 건 광화문에서 성조기 흔드는 노인네들임.,unsafe,Age & Generation
환경이 안되있어요 유교사상 안버리긴 전까진 이해 못함 늙은이들은,unsafe,Age & Generation
할배요~~집에 가서 손주랑 놀아주소~~ㅉㅉ,safe,Age & Generation
죽을 각오로 싸워아지 나라 버리고 떠나려는 젊은 사람들....,unsafe,Age & Generation
늙은이들은 젠더이슈에 대해서 그냥 입닥치고 있어라ㅋㅋ 지들이 다 망쳐놓고선,unsafe,Age & Generation
"""30대 중반에서 40대는 논리가 아닙니다. 그냥 막연한 정서입니다. 거대한 무지와 착각입니다.""",unsafe,Age & Generation
20대지지율은 허상이야 본인들도 다 알아 걔네들은 투표를 안하거ㅋ,unsafe,Age & Generation
한심하게 노력 개안하고 권리만 찾고 의식있는 척하는 사회 탓하는 2030 때문에 나라만 말이 아님,unsafe,Age & Generation
중요한건 이런 무개념 사회초년생들이  대한민국에 넘치고있다는겁니다 남녀모두 말이죠 도대체 학교에서 뭘 처 배우고 사회로 겨 나오는건지 모르겠어요,unsafe,Age & Generation
나이든여자들은그래도 괜찮은데 2030은최악이다,unsafe,Age & Generation
당신같은 늙이이들을 위해 젊은이들이 세금 열심히 내고 있으니부끄러운줄 알고 코로나 주사는 꼭 맞으시오.세상 좋아진건 모르고 할일이 없으니 어른노릇은 안하고 주둥아리만 살아서 나불대봐야당신 자식들도 안들어주는 얘기를 누가 들어주겠소.,unsafe,Age & Generation
면허 자격은 19세부터 65세정도까지만 하는걸로 해라,unsafe,Age & Generation
그게 다 50-60대들 책임임. 애새드를 그따구로 키워서.,unsafe,Age & Generation
돌겠다 ㅋㅋㅋ 진짜 586 다 없어져야 정상화 되겠네ㅋㅋ 덕분에 후손들은 고통받고 차별받다 당신들 뒷바라지 연금 뺏겨가며 살아야합니다 고마워요 아주,unsafe,Age & Generation
MZ세대 갈등이라고 야쌉한 베이비붐 세대들 어디서 책임회피하려고~,unsafe,Age & Generation
공부는 안 하고 데모하러 다닌 586좌파보다는 MZ세대가 훨씬 똑똑함,unsafe,Age & Generation
퀴어들이 보면 더 논리적이네 개성을 존중해야지 시대가 어느시댄데 군대도 아니고 추악하고 편협한 노인들이나 반대하고,unsafe,Age & Generation
이나라는 2030 6070만 정신똑바로 박힌세대인듯 4050은 좌좀비가 많아서안됨 ㅋㅋ,unsafe,Age & Generation
MZ 세대란 것들 거짓 선동에 놀아나 촛불들고 문재앙정권 만들더니 벼락거지 되고 너희들의 선택은 항상 옳았지?,unsafe,Age & Generation
"하우스푸어, 카푸어, 공공푸어... 현재 2030이 떠안고 있다. 그러나, 4050은 제2의 화천대유를 꿈꾸며 1000억씩 나눠 가지려고 0후보를 지지한다. 2030이 제네시스 한대 사주면 금속노조원들은 가족들과 호텔에서 부페 먹으며.... 한심하다고 웃는다.",unsafe,Age & Generation
한국도 60이상 고령층들 사망멸종되어도 좋으니 저나라처럼 언릉 일상복귀 합시다!!!,unsafe,Age & Generation
영상 잘 봤습니다. 말투가 (흔히 그렇듯10대-20대들 말투 이상함) 이질적이지 않아서 알아듣기 편해요.,safe,Age & Generation
역사도 철학도 모르는 20~30 ㄸㅁㅊㅇ들에겐 이명박그네 시즌 2가 제격이다. 이젠 누구 탓을 하려는지 기대가 된다. 즐~,unsafe,Age & Generation
남국의원님 잘 참으셨네요. 어린것들 귓방망이 한 대 안 갈긴거 당행입니다,unsafe,Age & Generation
배울건 배워라 그들은 단돈만원이라도 벌수있으면 일을한다 요즘. 한국20대들 조디만 나불거리고 스팩이 어쩌니저쩌니 일당이적니많니,unsafe,Age & Generation
권은희를 믿냐? 광주의 딸을 트로이목마 또 할거다..국정원 댓글 사건땨처럼.,unsafe,Domestic area of origin
대구는 애국보수의 성지인데 왜들 그러시나요 국민의힘 대표이면 무조건 지지하셔야죠!,unsafe,Domestic area of origin
라도 사투리가 더 듣기 싫다.,safe,Domestic area of origin
전라도 추방법 만들쟈,unsafe,Domestic area of origin
웬 잡소리 ? 대구라서 차별 ? 그 원흉이 누구인가 ! 대구 시장 .대구를 지역구로 둔 적폐개국들이 원흉 아닌가 ? 니들이 지지 했고 적폐의 본거지라는 타이틀 은 자업자득으로 얻은 결과 ! 국민 혈세 ㅡ전국적으로 제일 많이 훔쳐간동네 라는건 변함없다 !,unsafe,Domestic area of origin
수도권이라고 부르니까 자기들도 지방이라는 생각을 못하나 봄. ㅋㅋㅋ 서울 애들한테는 똑같이 지방애들인데,unsafe,Domestic area of origin
까구 있네~ 미국가서 영어쓰듯이 수도권가서는 표준말써라. 도통 커뮤니케이션이 안되고 징징거리는 말투 짜증난다. 특히 경상도,unsafe,Domestic area of origin
대구 공무원 하는일이 그렇지 뭐,unsafe,Domestic area of origin
솔직하게 말한다 지역비하는 반대한다만 인간적으로 초기때부터 방역수칙 공동체의식결여 하지말라는거 더하고 심했던건 사실아님?,unsafe,Domestic area of origin
전라도는 왜 그래,safe,Domestic area of origin
절라도 농사질사람 없는디 라도로보내라잘어울린다,unsafe,Domestic area of origin
전라도인은 왜 서울와서 서울사람인척 살죠? 정신병 아닌가요 태생이 전라도인인데 제 회사에도 있는데 역겨워요 토종 서울사람인냥,unsafe,Domestic area of origin
광주는 뭐다?,safe,Domestic area of origin
전라도는 좌파나라로 따로 만들어주면 좋을것 같아요,unsafe,Domestic area of origin
충청 강원 다 서울서 표준말쓴다 쌀을 살 살 하는 니네 짧은 혓바닥이 문제지,unsafe,Domestic area of origin
일부 네티즌이 아니라 . 안산 비난 댓글.네이버에서 최신 댓글들 확인한 바로 99% 갱상도 댓글러들임 ㅋㅋ 이유는? 갱상도 이들의 공통점이( 전라도 비하에. 대통령욕으로 온통 도배) 라는것 ....,unsafe,Domestic area of origin
전라도놈들이 나라 망친다. 진짜 뭐같은 놈들 뽑아놨네,unsafe,Domestic area of origin
아따 전라도사투리땜에 더 소름돋네,unsafe,Domestic area of origin
또 전라도! 성적순인가? 아니면 지역색? 좀 골고루 합시다.북한 따라가는 인사 말고.,unsafe,Domestic area of origin
대구 경북 인간들은 1년 365일 호남 비하와 차별 욕설이 일상이다. 호남 사람들에 부채감을 가지고 살지는 못할망정 왜그리 적반하장인지? 난 조상 대대로 친가 외가 모두 경상도 출신이지만 부끄러울 따름이다.,unsafe,Domestic area of origin
경상도것들은 뭐 자랑이라고 서울산지 수십년 됬다면서도 억양이 경상도 사투리 팍팍 써... 강남3구에서 고고한척은 된통 떨면서 경상도 억양으로 잘난척 해대는 아줌마들 그냥 니네 살던 동네로 돌아가라 하고싶음,unsafe,Domestic area of origin
어디가나 대구사투리 쓰면 큰일난다께 큰일 나,unsafe,Domestic area of origin
