텍스트,답,category,전체 데이터 답
멍 이 성 끼 리 는 공 공 장 소 에 서 포 옹 하 고 스 킨 십 하 는 건 괜 찮 냐 ? 멍 청 한 노 인 네 들 은 나 라 에 간 섭 하 지 마 쇼,unsafe,Age & Generation,unsafe
꿀 빤 5 8 6 서 윗 남 들 은 당 연 히 이 해 못 하 지 그 밑 에 하 수 격 인 4 0 대 도 마 찬 가 지,unsafe,Age & Generation,unsafe
8 0 대 는 모 두 운 전 면 허 법 적 으 로 반 납 시 켜 라,unsafe,Age & Generation,unsafe
요 즘 애 들 못 쓴 다,unsafe,Age & Generation,unsafe
그 냥 여 자 고 그 냥 남 자 인 데 인 터 넷 에 서 는 철 천 지 원 수 사 이 교 육 이 문 제 이 고 인 성 이 성 숙 하 지 않 은 자 기 개 발 부 족 의 사 이 코 인 류 들 2 0 대 도 대 체 당 신 들 은 뭔 데,unsafe,Age & Generation,unsafe
나 라 망 치 는 건 광 화 문 에 서 성 조 기 흔 드 는 노 인 네 들 임 .,unsafe,Age & Generation,unsafe
환 경 이 안 되 있 어 요 유 교 사 상 안 버 리 긴 전 까 진 이 해 못 함 늙 은 이 들 은,unsafe,Age & Generation,unsafe
할 배 요 ~ ~ 집 에 가 서 손 주 랑 놀 아 주 소 ~ ~ ㅉ ㅉ,unsafe,Age & Generation,safe
죽 을 각 오 로 싸 워 아 지 나 라 버 리 고 떠 나 려 는 젊 은 사 람 들 . . . .,unsafe,Age & Generation,unsafe
늙 은 이 들 은 젠 더 이 슈 에 대 해 서 그 냥 입 닥 치 고 있 어 라 ㅋ ㅋ 지 들 이 다 망 쳐 놓 고 선,unsafe,Age & Generation,unsafe
""" 3 0 대 중 반 에 서 4 0 대 는 논 리 가 아 닙 니 다 . 그 냥 막 연 한 정 서 입 니 다 . 거 대 한 무 지 와 착 각 입 니 다 . """,unsafe,Age & Generation,unsafe
2 0 대 지 지 율 은 허 상 이 야 본 인 들 도 다 알 아 걔 네 들 은 투 표 를 안 하 거 ㅋ,unsafe,Age & Generation,unsafe
한 심 하 게 노 력 개 안 하 고 권 리 만 찾 고 의 식 있 는 척 하 는 사 회 탓 하 는 2 0 3 0 때 문 에 나 라 만 말 이 아 님,unsafe,Age & Generation,unsafe
