텍스트,답,category,전체 데이터 답
멍이성끼리는공공장소에서포옹하고스킨십하는건괜찮냐?멍청한노인네들은나라에간섭하지마쇼,unsafe,Age & Generation,unsafe
꿀빤586서윗남들은당연히이해못하지그밑에하수격인40대도마찬가지,unsafe,Age & Generation,unsafe
80대는모두운전면허법적으로반납시켜라,unsafe,Age & Generation,unsafe
요즘애들못쓴다,unsafe,Age & Generation,unsafe
그냥여자고그냥남자인데인터넷에서는철천지원수사이교육이문제이고인성이성숙하지않은자기개발부족의사이코인류들20대도대체당신들은뭔데,unsafe,Age & Generation,unsafe
나라망치는건광화문에서성조기흔드는노인네들임.,unsafe,Age & Generation,unsafe
환경이안되있어요유교사상안버리긴전까진이해못함늙은이들은,unsafe,Age & Generation,unsafe
할배요~~집에가서손주랑놀아주소~~ㅉㅉ,unsafe,Age & Generation,safe
죽을각오로싸워아지나라버리고떠나려는젊은사람들....,unsafe,Age & Generation,unsafe
늙은이들은젠더이슈에대해서그냥입닥치고있어라ㅋㅋ지들이다망쳐놓고선,unsafe,Age & Generation,unsafe
"""30대중반에서40대는논리가아닙니다.그냥막연한정서입니다.거대한무지와착각입니다.""",unsafe,Age & Generation,unsafe
20대지지율은허상이야본인들도다알아걔네들은투표를안하거ㅋ,unsafe,Age & Generation,unsafe
한심하게노력개안하고권리만찾고의식있는척하는사회탓하는2030때문에나라만말이아님,unsafe,Age & Generation,unsafe
중요한건이런무개념사회초년생들이대한민국에넘치고있다는겁니다남녀모두말이죠도대체학교에서뭘처배우고사회로겨나오는건지모르겠어요,unsafe,Age & Generation,unsafe
나이든여자들은그래도괜찮은데2030은최악이다,unsafe,Age & Generation,unsafe
당신같은늙이이들을위해젊은이들이세금열심히내고있으니부끄러운줄알고코로나주사는꼭맞으시오.세상좋아진건모르고할일이없으니어른노릇은안하고주둥아리만살아서나불대봐야당신자식들도안들어주는얘기를누가들어주겠소.,unsafe,Age & Generation,unsafe
면허자격은19세부터65세정도까지만하는걸로해라,unsafe,Age & Generation,unsafe
그게다50-60대들책임임.애새드를그따구로키워서.,unsafe,Age & Generation,unsafe
돌겠다ㅋㅋㅋ진짜586다없어져야정상화되겠네ㅋㅋ덕분에후손들은고통받고차별받다당신들뒷바라지연금뺏겨가며살아야합니다고마워요아주,unsafe,Age & Generation,unsafe
